country;variable;percentile;year;value;age;pop
QG-MER;mhweali999;p0p100;1995;2621656956928;999;i
QG-MER;mhweali999;p0p100;1996;2685635493888;999;i
QG-MER;mhweali999;p0p100;1997;2944932478976;999;i
QG-MER;mhweali999;p0p100;1998;3101306290176;999;i
QG-MER;mhweali999;p0p100;1999;3328503087104;999;i
QG-MER;mhweali999;p0p100;2000;3534491779072;999;i
QG-MER;mhweali999;p0p100;2001;3705836503040;999;i
QG-MER;mhweali999;p0p100;2002;3960999772160;999;i
QG-MER;mhweali999;p0p100;2003;4320964050944;999;i
QG-MER;mhweali999;p0p100;2004;4739993436160;999;i
QG-MER;mhweali999;p0p100;2005;5000459845632;999;i
QG-MER;mhweali999;p0p100;2006;5363137183744;999;i
QG-MER;mhweali999;p0p100;2007;5747544883200;999;i
QG-MER;mhweali999;p0p100;2008;5582813855744;999;i
QG-MER;mhweali999;p0p100;2009;5246898929664;999;i
QG-MER;mhweali999;p0p100;2010;5723322384384;999;i
QG-MER;mhweali999;p0p100;2011;5638758268928;999;i
QG-MER;mhweali999;p0p100;2012;5669367447552;999;i
QG-MER;mhweali999;p0p100;2013;5938647597056;999;i
QG-MER;mhweali999;p0p100;2014;6495294324736;999;i
QG-MER;mhweali999;p0p100;2015;7267112386560;999;i
QG-MER;mhweali999;p0p100;2016;7633932058624;999;i
QG-MER;mhweali999;p0p100;2017;8177806934016;999;i
QG-MER;mhweali999;p0p100;2018;8310649847808;999;i
QG-MER;mhweali999;p0p100;2019;8305998168064;999;i
QG-MER;mhweali999;p0p100;2020;8619987697664;999;i
QG-MER;mhweali999;p0p100;2021;9690694942720;999;i
QG-MER;mhweali999;p0p100;2022;9969815388160;999;i
QG-MER;mhweali999;p0p100;2023;9959261470720;999;i
QG-MER;inyixxi999;p0p100;1970;0.1532751768827438;999;i
QG-MER;inyixxi999;p0p100;1971;0.1637130975723267;999;i
QG-MER;inyixxi999;p0p100;1972;0.1724123954772949;999;i
QG-MER;inyixxi999;p0p100;1973;0.1841626018285751;999;i
QG-MER;inyixxi999;p0p100;1974;0.200347051024437;999;i
QG-MER;inyixxi999;p0p100;1975;0.2186037451028824;999;i
QG-MER;inyixxi999;p0p100;1976;0.2336720079183578;999;i
QG-MER;inyixxi999;p0p100;1977;0.2487370073795319;999;i
QG-MER;inyixxi999;p0p100;1978;0.2643983066082001;999;i
QG-MER;inyixxi999;p0p100;1979;0.2823651731014252;999;i
QG-MER;inyixxi999;p0p100;1980;0.3052764236927032;999;i
QG-MER;inyixxi999;p0p100;1981;0.330408126115799;999;i
QG-MER;inyixxi999;p0p100;1982;0.3578794002532959;999;i
QG-MER;inyixxi999;p0p100;1983;0.38149294257164;999;i
QG-MER;inyixxi999;p0p100;1984;0.4020309448242188;999;i
QG-MER;inyixxi999;p0p100;1985;0.4197812974452972;999;i
QG-MER;inyixxi999;p0p100;1986;0.4382108449935913;999;i
QG-MER;inyixxi999;p0p100;1987;0.4487565755844116;999;i
QG-MER;inyixxi999;p0p100;1988;0.4635440111160278;999;i
QG-MER;inyixxi999;p0p100;1989;0.4821928143501282;999;i
QG-MER;inyixxi999;p0p100;1990;0.5036841630935669;999;i
QG-MER;inyixxi999;p0p100;1991;0.5256145000457764;999;i
QG-MER;inyixxi999;p0p100;1992;0.5506653189659119;999;i
QG-MER;inyixxi999;p0p100;1993;0.5710884928703308;999;i
QG-MER;inyixxi999;p0p100;1994;0.5857305526733398;999;i
QG-MER;inyixxi999;p0p100;1995;0.6013585925102234;999;i
QG-MER;inyixxi999;p0p100;1996;0.6115171313285828;999;i
QG-MER;inyixxi999;p0p100;1997;0.6195247769355774;999;i
QG-MER;inyixxi999;p0p100;1998;0.6287034749984741;999;i
QG-MER;inyixxi999;p0p100;1999;0.634992778301239;999;i
QG-MER;inyixxi999;p0p100;2000;0.6434962749481201;999;i
QG-MER;inyixxi999;p0p100;2001;0.6589493155479431;999;i
QG-MER;inyixxi999;p0p100;2002;0.674133837223053;999;i
QG-MER;inyixxi999;p0p100;2003;0.6883910298347473;999;i
QG-MER;inyixxi999;p0p100;2004;0.7011815309524536;999;i
QG-MER;inyixxi999;p0p100;2005;0.7133487462997437;999;i
QG-MER;inyixxi999;p0p100;2006;0.7273454070091248;999;i
QG-MER;inyixxi999;p0p100;2007;0.744479238986969;999;i
QG-MER;inyixxi999;p0p100;2008;0.759256899356842;999;i
QG-MER;inyixxi999;p0p100;2009;0.766664981842041;999;i
QG-MER;inyixxi999;p0p100;2010;0.7726222276687622;999;i
QG-MER;inyixxi999;p0p100;2011;0.781162679195404;999;i
QG-MER;inyixxi999;p0p100;2012;0.7920234799385071;999;i
QG-MER;inyixxi999;p0p100;2013;0.8021301627159119;999;i
QG-MER;inyixxi999;p0p100;2014;0.8099281191825867;999;i
QG-MER;inyixxi999;p0p100;2015;0.82100510597229;999;i
QG-MER;inyixxi999;p0p100;2016;0.8283550143241882;999;i
QG-MER;inyixxi999;p0p100;2017;0.8375656604766846;999;i
QG-MER;inyixxi999;p0p100;2018;0.8504635691642761;999;i
QG-MER;inyixxi999;p0p100;2019;0.865266740322113;999;i
QG-MER;inyixxi999;p0p100;2020;0.8829702734947205;999;i
QG-MER;inyixxi999;p0p100;2021;0.903130292892456;999;i
QG-MER;inyixxi999;p0p100;2022;0.9439816474914551;999;i
QG-MER;inyixxi999;p0p100;2023;1;999;i
QG-MER;mcitgri999;p0p100;1980;17768755328;999;i
QG-MER;mcitgri999;p0p100;1981;17544028544;999;i
QG-MER;mcitgri999;p0p100;1982;15440887680;999;i
QG-MER;mcitgri999;p0p100;1983;13769931648;999;i
QG-MER;mcitgri999;p0p100;1984;16137580288;999;i
QG-MER;mcitgri999;p0p100;1985;16973090304;999;i
QG-MER;mcitgri999;p0p100;1986;16851303296;999;i
QG-MER;mcitgri999;p0p100;1987;21024659712;999;i
QG-MER;mcitgri999;p0p100;1988;22108444928;999;i
QG-MER;mcitgri999;p0p100;1989;26699992576;999;i
QG-MER;mcitgri999;p0p100;1990;27438738432;999;i
QG-MER;mcitgri999;p0p100;1991;26382275840;999;i
QG-MER;mcitgri999;p0p100;1992;27537128192;999;i
QG-MER;mcitgri999;p0p100;1993;26686191104;999;i
